basin_id,slope,lon,elev,lat,pop,pop_dnsty,length,area,form_factor,shape_factor,compactness_coefficient,circulatory_ratio,elongation_ratio
24035,92.61943817,133.8035062,128.2668911,46.45420918,10214,2.175650228,82.75936333,3255.342348,0.475294059,2.103960655,1.763527581,0.321645098,0.777660952
24036,106.9944611,133.3304588,143.8827353,46.34370075,16233,6.640045824,60.04610749,1699.296819,0.471302264,2.1217806,2.001158788,0.249791899,0.774388442
24038,107.2819672,132.977652,95.0750301,45.99408681,35428,9.894003764,117.7153498,2502.156099,0.180571084,5.537985254,2.456421515,0.165781347,0.479328445
24039,186.8805542,133.8158674,78.62043617,46.04372712,3281,10.06740039,25.69536896,227.5617957,0.34465901,2.901418421,2.255077567,0.196706396,0.662222477
24057,115.0205078,133.5763615,64.69805389,45.88135986,3318,6.65824769,20.8618152,348.8501087,0.801557486,1.247571157,1.914061692,0.273042082,1.0098955
24058,103.956749,132.7344477,97.69390524,45.77117738,111713,31.06393185,124.2777771,2523.073559,0.16335896,6.121488538,2.505016445,0.159411735,0.455911534
24059,167.7250671,131.7441255,185.4106339,45.7222043,45976,21.974223,63.0291518,1469.518301,0.369906594,2.703385167,1.978665131,0.255503497,0.686049001
24060,102.8644257,131.6872495,202.9827896,45.37152298,96982,32.03530844,75.18730284,2136.975141,0.37801624,2.645388989,2.078236159,0.231606987,0.693528526
24061,98.40340424,131.2063889,366.8199183,45.03400426,181381,62.06755831,79.59723425,2075.65731,0.327611922,3.052391967,1.979472675,0.25529507,0.645637799
24062,163.5362091,130.6976742,471.8326104,44.75518243,767298,59.12635559,206.7336558,9257.211828,0.216599691,4.616811761,2.421407954,0.170610408,0.524974267
24063,128.4203644,133.2174136,67.62670983,45.69613262,22800,12.32782427,72.25066478,1300.099893,0.249053717,4.015198055,2.424602441,0.170161135,0.562931581
24064,153.9952545,133.2347585,65.13639832,45.41011956,7993,5.220533374,64.94884567,1081.513448,0.256382897,3.900416183,2.435727103,0.168610335,0.571154529
24065,96.80657959,133.1221559,39.25257718,44.93939658,28299,7.592037146,68.79148267,2652.883379,0.560594482,1.783820625,1.875735448,0.284314022,0.844565835
24066,121.1113281,132.5782452,74.04687536,45.12963831,93586,27.02053704,92.51762162,2444.083804,0.285540144,3.502134541,3.011388633,0.11030821,0.602757588
24067,118.399292,132.5320912,60.01014861,44.89072746,2941,1.904918808,92.57958913,1102.342739,0.128613379,7.775240874,2.055352854,0.236792896,0.40453134
24068,138.8832703,132.8239294,77.92536328,44.71968839,42317,13.94962846,89.53096847,2171.81657,0.270942153,3.690824734,2.041622285,0.239988624,0.587147733
24069,78.97312927,132.4329119,111.9618039,44.61026187,34933,9.4829105,122.506618,2649.894963,0.176567008,5.663572205,2.454395611,0.166055138,0.473984215
24072,135.3241425,132.4508214,60.04776873,44.97870314,10,0.059788489,84.36900517,118.4136591,0.016635503,60.11239822,5.51888075,0.032842744,0.145487966
24073,120.9093552,131.8883512,223.7073486,44.73589648,20827,4.315766382,168.6027727,3460.518273,0.121733952,8.214635128,2.820659977,0.125730307,0.393563633
24074,123.7519836,132.1951268,79.90575058,45.05659611,38125,8.890361203,100.1321742,3043.395961,0.303536672,3.294494845,2.097456898,0.227381622,0.62146215
24075,125.3515778,131.9592431,119.3391507,45.15875514,7800,4.364381875,50.95562404,1267.955951,0.488337322,2.047764845,1.603852872,0.388877125,0.788259218
24076,127.5236893,131.6171269,365.0535335,44.89012314,3376,1.077210894,115.4479366,2233.956814,0.167610964,5.966196829,2.4860496,0.161853417,0.461806787
24077,146.9163361,133.6577507,161.2599333,45.29581048,36786,8.606337681,92.96892609,3020.965633,0.349518491,2.861078962,1.92643739,0.269545231,0.666874602
